Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text,sentiment
"Rich Dad, Poor Dad","Argues that a good education and a secure job are not guarantees for financial success, and describes six guidelines for making money work for you",['Sharon L. Lechter'],http://books.google.com/books/content?id=W0D2nQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=W0D2nQEACAAJ&dq=Rich+Dad,+Poor+Dad&hl=&cd=1&source=gbs_api",Techpr Incorporated,1998,"http://books.google.nl/books?id=W0D2nQEACAAJ&dq=Rich+Dad,+Poor+Dad&hl=&source=gbs_api",['Business & Economics'],3387.0,B000GSDG8E,,A1W7U2FVGKQNFH,barry kaufman,997/1090,5.0,1024444800,Financial Literacy 101,"Where do you learn about money? School? No! Too busy memerizing war dates. Parents? Possibly, but not likely.If you dislike this book you have probably bought into the Great American Lie of go to school, get a job and after 40 years you get a gold watch. And you are in rat race my friend.I have a gold watch already. It says to Barry Kaufman the greatest guy in the world from Barry Kaufman the greatest guy in the world. I didn't have to wait 40 years for mine or sell my soul to corporate America for a little cup of soup (called wages)I also suggest reading Who Stole the American Dream, Wave 4 and Turner, Turner, Turner: The King of Network Marketing.",1
Stop Walking on Eggshells: Taking Your Life Back When Someone You Care About Has Borderline Personality Disorder,,,,,,,,,,157224108X,,,,992/1037,5.0,903916800,"A SINGULAR, INDISPENSABLE, LIFE-SAVING CONTRIBUTION ON BPD","I don't know how Randi Kreger and Paul Mason did it, but they have made a singular contribution to the world with their web site and with the publication of this life-saving book. Please allow me to post this from the book for anyone looking for help in or out of a bad situation right now:Predictable Stages: People who love someone with BPD seem to go through similar stages. The longer the relationship has lasted, the longer each stage seems to take. Although these are listed in the general order in which people go through them, most people move back and forth among different stages.Confusion Stage. This generally occurs before a diagnosis of BPD is known. Non-BPs struggle to understand why borderlines sometimes behave in ways that seem to make no sense. They look for solutions that seem elusive, blame themselves, or resign themselves to living in chaos. Even after learning about BPD, it can take non-BPs weeks or months to really comprehend on an intellectual level how the BP is personally affected by this complex disorder. It can take even longer to absorb the information on an emotional level.Outer-Directed Stage. In this stage, non-borderlines turn their attention toward the person with the disorder, urging them to seek professional help, attemping to get them to change, and trying their best not to trigger problematic behavior. People at this stage usually learn all they can about BPD in an effort to understand and empathize with the person they care about. It can take nopn-BPs a long time to acknowledge feelings of anger and grief--especially when the BP is a parent or child. Anger is an extremely common reaction, even though most non-BPs understand on an intellectual level that BPD is not the borderline's fault. Yet because anger seems to be an inappropriate response to a situation that may be beyond the borderline's control, non-BPs often suppress their anger and instead experience depression, hopelessness, and guilt. The chief tasks for non-BPs in this stage include acknowledging and dealing with their own emotions, letting BPs take responsibility for their own actions, and giving up the fantasy that the BP will behave as the non-BP would like them to.Inner-Directed Stage. Eventually, non-BPs look inward and conduct an honest apparaisal of themselves. It takes two people to have a relationship, and the goal for non-BPs in this stage is to better understand their role in making the relationship what it now is. The objective here is not self-recrimination, but insight and self-discovery.Decision-Making Stage. Armed with knowledge and insight, non-BPs struggle to make decisions about the relationship. This stage can often take months or years. Non-BPs in this stage need to clearly understand their own values, beliefs, expectations, and assumptions. For example, one man with a physically violent borderline wife came from a conservative family that strongly disapprove of divorce. His friends counseled him to separate from her, but he felt unable to do so because of his concern about how his family would react. You may find that your beliefs and values have served you well throughout your life. Or you may find that you inherited them from your family without determining whether or not they truly reflect who you are. Either way, it is important to be guided by your OWN values--not someone else's.Resolution Phase. In this final stage, non-BPs implement their decisions and live with them. Depending upon the type of relationship, some non-BPs may, over time, change their minds many times and try different alternatives.And:....When it comes to chosen relationships, we found that the BP's willingness to admit they had a problem and seek help was by far the determining factor as to whether the couple stayed together or not....If you are looking at this right now, know that you are not alone. There are countless others who understand all you have been through for nothing. Get on the non-BP mailing list at Randi Kreger's site and buy this book NOW. It can and will save your life, whatever you decide.",1
Invisible (Ivy Malone Mystery Series #1),"She's not your average crime fighter! Ivy Malone has a curiosity that sometimes gets her into trouble, and it's only aggravated by her discovery that she can easily escape the public eye. So when vandals romp through the local cemetery, she takes advantage of her newfound anonymity and its unforeseen advantages as she launches her own unofficial investigation. Despite her oddball humor and unconventional snooping, Ivy soon becomes discouraged by her failure to turn up any solid clues. And after Ivy witnesses something ominous and unexplained, she can't resist putting her investigative powers to work again. Even the authorities' attempts to keep Ivy out of danger and her nosy neighbor's match-making schemes can't slow her down. But will the determination that fuels this persistent, quirky sleuth threaten her very safety? ""I laughed out loud. McCourtney's charming mystery debuts a voice both enchanting and startling.""-Colleen Coble, author of Without a Trace ""McCourtney's skill at blending whimsy, quirks, and questions into a lead character makes Invisible a must read.""-Lois Richer, author of Dangerous Sanctuary ""Invisible is a treat! Ivy Malone is a heroine with spunk and determination!""-Carol Cox, author of A Stitch in Time",['Lorena McCourtney'],http://books.google.com/books/content?id=fy0MBhA04x0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=fy0MBhA04x0C&printsec=frontcover&dq=Invisible+(Ivy+Malone+Mystery+Series&hl=&cd=1&source=gbs_api,Baker Books,2004-08-01,https://play.google.com/store/books/details?id=fy0MBhA04x0C&source=gbs_api,['Fiction'],52.0,0800759532,,A378SKHGPNY11,ltnorham,991/1084,3.0,1289347200,A light mystery book with a heaping helping of religious sauce,"As a secular reader who was just looking for a light-hearted mystery, I found the religious content rather distracting and a bit heavy-handed. The writing is breezy and humorous, but this book is very much geared toward a Christian reader. I find it a bit irritating that the description completely omitted this significant aspect, I suspect to attract a wider audience. My reading time is limited and I don't like feeling misled. Please just be honest in the description, as the book seems like a fun read for its intended audience.",1
Knife of Dreams (Wheel of Time),"The Wheel of Time is now an original series on Prime Video, starring Rosamund Pike as Moiraine! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. The dead are walking, men die impossible deaths, and it seems as though reality itself has become unstable: All are signs of the imminence of Tarmon Gai'don, the Last Battle, when Rand al'Thor, the Dragon Reborn, must confront the Dark One as humanity's only hope. Unbeknownst to Rand, Perrin has made his own truce with the Seanchan. It is a deal made with the Dark One, in his eyes, but he will do whatever is needed to rescue his wife, Faile, and destroy the Shaido who captured her. Among the Shaido, Faile works to free herself while hiding a secret that might give her her freedom or cause her destruction. And at a town called Malden, the Two Rivers longbow will be matched against Shaido spears. Fleeing Ebou Dar through Seanchan-controlled Altara with the kidnapped Daughter of the Nine Moons, Mat attempts to court the woman to whom he is half-married, knowing that she will complete that ceremony eventually. But Tuon coolly leads him on a merry chase as he learns that even a gift can have deep significance among the Seanchan Blood and what he thinks he knows of women is not enough to save him. In Caemlyn, Elayne fights to gain the Lion Throne while trying to avert what seems a certain civil war should she win the crown... In the White Tower, Egwene struggles to undermine the sisters loyal to Elaida from within... The winds of time have become a storm, and things that everyone believes are fixed in place forever are changing before their eyes. Even the White Tower itself is no longer a place of safety. Now Rand, Perrin and Mat, Egwene and Elayne, Nynaeve and Lan, and even Loial, must ride those storm winds, or the Dark One will triumph. The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Robert Jordan'],http://books.google.com/books/content?id=cejrfFAbiz4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=cejrfFAbiz4C&printsec=frontcover&dq=Knife+of+Dreams+(Wheel+of+Time)&hl=&cd=1&source=gbs_api,Macmillan,2010-08-24,https://play.google.com/store/books/details?id=cejrfFAbiz4C&source=gbs_api,['Fiction'],71.0,B000N7204Y,,A3R56AWX8PRQLP,"D. Parvin ""dparv""",990/1040,4.0,1129075200,"A lot better and a few good advances, but he's got one huge mess to clean up","While it still doesn't compare to the first four or five books, Knife of Dreams is probably the best novel in the Wheel of Time series since Fires of Heaven. The good news is numerous plot lines advance and the writing shows the effect of a full editing cycle. The bad news is that the good writing here oddly illuminates how much of a hole author Robert Jordan dug for himself with the mess of the previous novels - with it being made very clear even a writer of his talent probably won't be able to resolve the plethora of details even with another couple of books. I take a star off for letting a number of details and characters slip along with another half star for a pace that at times returns to near-plodding, but I'll round it up from 3.5 stars to four for the progress here that makes me have high hopes for the next book.It is outright scary to think of how many top selling authors have come and gone since Jordan started this series. In 1990, Lemony Snicket was a sophomore in college, J. K. Rowling had just taken that fateful train ride back to London, and most of the top sellers on the sci-fi/fantasy lists hadn't been published even in fan magazines. My rating here is standalone and does not reflect my frustration with how Jordan has dragged this out; read my reviews of Crossroads and New Spring if you doubt that. (Incidentally, Jordan claims to never have read a review on Amazon, having stated that ""if you're going to get your heart checked out, would you go to a doctor (professional reviewer) or walk up to a guy on the street?"" Oh well.)Although not spectacular, Knife of Dreams finally gives hope again. Without spoiling things, many plotlines raised in the last few books advance. Perrin's attempts to recover Faile, Mat's escape with and courtship of Tuon, Elayne's struggle for her crown, and a few miscellaneous issues resolve. More significantly and more satisfyingly, Jordan really does make progress on some plotlines that have been promised since the first few books - Egwene's struggle to truly be the Amyrlin Seat, the implications of Lan as Aan'allein, and miraculously, even some movement on the long (1995!) dormant Eel- and Aelfinn plotline. There are also some remarkable new point-of-view (Tuon, Loial!) perspectives that add to the details of the world without having to write hundreds of pages. Finally, the book also shows the effort of being at Tor for more than a month before publication like the last four or five novels; Jordan isn't allowed to go off into tangents - and thankfully, no major new characters get introduced - and in general the writing is generally crisper.Unfortunately, it's not enough. Jordan has created so many irrelevant plotlines and characters from the sixth book onwards that even with a workmanlike effort to clean up here the mess is still very much present. A glaring result is that the main plot - what the Dragon Reborn is doing - not only receives merely cursory attention but also doesn't show up until Chapter 18, or 385 pages into a 760 page book. The not-particularly-engaging Windfinder and Tower-divided stories get far too much coverage without moving much, a number of major characters besides Rand (like Min, Nynaeve, and Aviendha) get very little stage time with more minor players like Galina and various Shaido characters receiving far too much, other interesting plots like the Forsaken move barely at all with minimal coverage, and of all the advancements above only the Egwene line really feels satisfying. (If Jordan had advanced the other main characters as much as Egwene this would have been a much better book.) The problem is clear. The last really good WoT book, Fires of Heaven, had roughly four or five major plotlines; this has at least ten thanks to the mess of the last few books. While Jordan and his editor state unequivocally that this will be finished in one more book (thankfully planned to be completed before any more prequels), all the new material he's added makes this doubtful and is now standing directly in the way of a great wrapup.Jordan's goal was to have fans sweating by the end of the book; for me, I didn't get there as this doesn't qualify as a cliffhanger by any means. Over the summer, I actually reread all the previous books and the good news is the bad ones make more sense as part of a sequential order - and at least Jordan is somewhere close to his old form, so this isn't bad. But then again, it's not great either. Still, it deserves 3.5 stars and is worth buying in hardcover rather than waiting. For the first time in years, I look forward to the next novel.September 2007: My sympathies to Jordan's lovely wife Harriet on his recent passing. For those who are interested, the notes he left as the basis of the massive final book, A Memory of Light, will be completed and published in 3 separate books by Brandon Sanderson.",1
Cancer: 50 Essential Things to Do: Revised and Updated Edition,,,,,,,,,,0452280745,,AUOUYJS67QPQD,Robert E. Gunther,99/99,5.0,1178409600,Best book on cancer,"Of all the books I was given, bought or borrowed since I was diagnosed with cancer, this is my hands-down favorite. It is easy to read, based on one of the most extensive informal studies of survivors and, most of all, leaves you with a feeling of hope. First of all, many of the books just made my head spin - particularly when I was recovering from surgery and doing chemotherapy. This one is presented in short, powerful, easy-to-read sections that you can jump into for a few minutes every day and think about for weeks afterward. Second, it is based on real experience and deep knowledge of diverse approaches. After being given 30 days to live, Greg did what every cancer patient wants to do, he started talking to survivors. More than two decades later, he has interviewed more than 15,000 survivors. This book distills the wisdom from these interviews. It addresses conventional medical treatment, but also nutrition, exercise, support, belief and spirituality (things that your doctor may never talk to you about). It addresses issues that range from the big questions about the message of the disease to very practical approaches to reducing nausea or deciding what to eat. Finally, while most literature on cancer makes you feel confused and overwhelmed (How can you possibly do all this? Should you?), this one offers simple, authentic, actionable steps.",0
Gravity: An Introduction to Einstein's General Relativity,"Providing relevant solutions of the Einstein equation, this text introduces field equations of general relativity & their supporting mathematics. Emphasis is on the connection between observation & theory and the phenomena of gravitational physics.",['James B. Hartle'],http://books.google.com/books/content?id=ZHgpAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ZHgpAQAAMAAJ&q=Gravity:+An+Introduction+to+Einstein%27s+General+Relativity&dq=Gravity:+An+Introduction+to+Einstein%27s+General+Relativity&hl=&cd=1&source=gbs_api,Pearson,2003,http://books.google.com/books?id=ZHgpAQAAMAAJ&dq=Gravity:+An+Introduction+to+Einstein%27s+General+Relativity&hl=&source=gbs_api,['Science'],1.0,0805386629,70.79,AN8L1MSBP7I67,math-tutorchicago-org,99/99,5.0,1122076800,The best ~ GR ~ for beginners.,"Many beginners in GR don't have a rudimentary intuitive understanding of what 4-vectors are and how to use them in a simple physical problem. This textbook helps with that - it gives you a workout in using 4-vectors and thinking geometrically about spacetime. It teaches you the basic notions of metric, embedding diagrams, hypersurfaces, observers carrying their orthonormal bases and performing measurements, geodesics, coordinate transformations, curvature and energy tensors. Along the way, it manages to explore in detail the three most important metrics in GR: black holes (static and rotating), cosmological models of the universe and gravitational radiation. The book covers the conceptual foundations (how Einstein developed the idea), the mathematical machinery, the analysis of the historical confirmations of GR as well as many contemporary observations like gravitational lensing, cosmic background radiation, or acceleration of the universe expansion (by the way the cosmological chapters are the most logical introduction to cosmology I've seen), even future experiments like gravity probe B that is going to measure the 'frame dragging' around Earth.In the first 400 pages the book is exploring different metrics by calculating physical observable quantities like redshift, orbits, bending of light and so on using 4-vectors only. There are many examples that show you actual calculations right after a new concept is introduced and help you learn thinking in terms of 4-vectors. The usual tensor analysis, curvature, covariant derivative and Einstein equation are introduced in the last 100 pages. Each chapter has about 20 problems on average, ranging from very easy ones that familiarize you with the new concepts, average ones that train you to combine several concepts from the text, and quite hard ones (marked with [C]) that require a lot of creativity, guessing and effort on your part (sometimes you can't solve them but don't cry :). I've solved about 90% of the problems - unfortunately there aren't any answers ... Your calculus must be in prime shape, you have to know what differential is, you often have to solve integrals (for the time consuming ones use Mathematica), differential equations (only simple ones), approximate terms in formulas 'up to first order' in something and frequently convert between SI units and geometrized units (c = G = 1) but nothing fancier than that is required. The book has a web site[...]with supplements (some more theoretical derivations, nothing scary) and downloadable Mathematica notebooks that calculate Christoffels and curvature for any metric you fill in (believe me they save you a LOT of algebra).If you can spend about 6 hours per day, you can read the text and solve most of the problems in about 4 months. The text gave me many answers but often made me ask deeper questions whose answers I have to find on my own. I would say the presentation is 3/4 very clear and 1/4 is kind of fuzzy and could be improved by the author - it 'makes sense' when you read it but when you start solving the problems it turns out there are important details missing - I usually resolve these but it would be less time consuming if the text was more systematic. Solving the problems makes you really understand the concepts and is more valuable than reading the text alone! It is amazing how the book cuts through stuff that sounds 'too sophisticated' and after a few days you understand it and can even calculate it.Lastly, this text covers the beginning level of GR. You will have to read other texts like Carroll or Inverno for intermediate level and Wald for higher level.",1
Teresa of Avila: The Interior Castle (The Classics of Western Spirituality),"This 16th-century Spanish mystic is considered one of the most profound spiritual teachers in the history of Christianity. Father Kieran Kavanaugh, the editor of this volume, says in his introduction, 'The Interior Castle has come to be regarded as Teresa's best synthesis...'",['Saint Teresa (of Avila)'],http://books.google.com/books/content?id=8sZ_ATrXYG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8sZ_ATrXYG8C&printsec=frontcover&dq=Teresa+of+Avila:+The+Interior+Castle+(The+Classics+of+Western+Spirituality)&hl=&cd=1&source=gbs_api,Paulist Press,1979,https://play.google.com/store/books/details?id=8sZ_ATrXYG8C&source=gbs_api,['Religion'],3.0,0809103036,,A19Q59T3Y3WF1V,Patrice Fagnant-macarthur,99/99,5.0,1127520000,"""Interior Castle"" Provides Blueprint to the Soul","Teresa of Avila was a Carmelite nun living in the 1500s who wrote the ""Interior Castle"" (known as ""The Mansions"" in her native Spain) at the request of her confessor. A mystic who communed intimately with God, she had experienced a vision of ""a most beautiful crystal globe, made in the shape of a castle, and containing seven mansions, in the seventh and innermost of which was the King of Glory, in the greatest splendour, illuming and beautifying them all. . . outside the palace limits everything was foul, dark, and infested with toads, vipers and other venomous creatures."" This castle became Teresa's metaphor for the soul. ""Interior Castle"" explores each of the seven mansions in great detail. Her intended audience were the sisters who made up her cloistered religious community, however her insights offer much to the world at large.Teresa wrote reluctantly and felt that she had little to offer that had not already been said. She believed that ""Our Lord will be granting me a great favour if a single one of these nuns should find that my words help her to praise Him a little better."" She focuses on the beauty of the soul and laments that we spend so much attention on our physical body and so little on the divine spark that is within.Teresa focuses on gaining self-knowledge, but not in the way we in the 21st century interpret that term. For her, self-knowledge means coming to know the soul within. It means understanding our dependence on God and gaining humility by acknowledging that we are nothing without Him. The route to self-knowledge and entry into the interior castle comes through prayer and meditation. As one progresses through the mansions, one comes to know and long for God more and more and to reject the world and its attractions. Teresa encourages the beginner in prayer ""to labour and be resolute and prepare himself with all possible diligence to bring his will into conforming with the will of God."" She also offers encouragement: ""If, then, you sometimes fall, do not lose heart or cease striving to make progress, for even out of your fall God will bring good.""As one makes her way ever deeper into the heart of the castle, increased spiritual consolations and trials become par for the course. Many (perhaps even most) do not reach the most inner mansions in this lifetime. Teresa is quick to point out, however, that ""the Lord gives when He wills and as He wills and to whom He wills, and as the gifts are His own, this is doing no injustice to anyone."" Indeed she cautions her readers to never believe that they deserve any gift that the Lord bestows upon them, nor should we set out to obtain any consolations or mystical experiences because ""the most essential thing is that we should love God without any motive of self-interest.""Teresa was truly granted amazing gifts of insight and experience from God. While we may not share in her experience, ""Interior Castle"" offers a unique perspective into the divine within each of us. It offers a portrait of our souls and invites us into a deeper relationship with God.[...]",1
Public Secrets,,,,,,,,,,0553285785,7.99,A1MK73GW682ZI,Anne Cahill,99/99,5.0,957744000,This book made me a Nora Roberts fan,"A friend loaned me &quot;Public Secrets&quot; a couple of years back, and it took me a few months to get around to reading it -- and only then because I'd run out of all my &quot;usual&quot; authors. Suffice it to say, since then I've been running out and getting my hands on as many NR novels as possible, and it all started because of this page-turning mystery.Emma McAvoy gets whisked out of poverty and into the glamour of rock-music at the age of 3, but those early years never quite fade away from her memory. She loves and idolizes her rock-star father and also quickly loves her step-mother and her new baby brother. When he is tragically kidnapped, Emma's new world changes again, and she must live with the guilt and the uneasy sense that she knows more than she remembers, and she must force herself to remember to save her own life.This is a wonderful, &quot;un-put-downable&quot; book, which I subsequently passed on to all MY friends because I liked it so much. Now that I have it back I'm looking forward to reading it again!",1
The Encyclopedia of Country Living: An Old Fashioned Recipe Book,"An enormous undertaking, this 900-page volume embraces every facet of country living, from raising livestock to canning vegetables. Over 300,000 copies of previous editions have been sold and author Carla Emery continues to draw new fans to her book. This revised and expanded edition is packed with information on growing, harvesting, processing, preserving, and cooking everything for vegetables and grains to dairy animals, pigs, and even earthworms! A wealth of other topics include enriching soil, baking bread, making soap, tanning hides, wood stove cooking, even delivering a baby. No book can match An Encyclopedia of Country Living for its thoroughness and reliability.",['Carla Emery'],http://books.google.com/books/content?id=CmqTAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=CmqTAAAACAAJ&dq=The+Encyclopedia+of+Country+Living:+An+Old+Fashioned+Recipe+Book&hl=&cd=1&source=gbs_api,,1994,http://books.google.com/books?id=CmqTAAAACAAJ&dq=The+Encyclopedia+of+Country+Living:+An+Old+Fashioned+Recipe+Book&hl=&source=gbs_api,['Agriculture'],8.0,157061377X,,A1P49FQGMSV0J8,kgilles14@aol.com,99/99,5.0,902793600,The most complete and thorough book ever!,"When I purchased an 8-acre ranch in 1985 I had a six-month old baby one on the way and had never been off of concrete in my life. Now I had 8-acres, goats, chickens, rabbits, ducks, geese, pigs, 60 fruit and nut trees and an acre garden. I had no clue how or what to do! I learned everything from reading that book. How to harvest, can and cook up your garden &amp; orchard harvest, feed and butcher animals, all kinds of doctoring for kids and animals, crafts, and even how to cut hair. That book is so dog-eared with tape from all of my years of use. I owe my sanity to that book. It has every scenario imaginable. I recommend it to anyone living in the country or on a farm or thinking of it. What I learned from Carla Emery's book will stay with me forever! The knowledge is priceless.",1
A Colorful Introduction to the Anatomy of the Human Brain: A Brain and Psychology Coloring Book,,,,,,,,,,0205162991,,A73CLYA160YLZ,"Ilya Farber ""axiomlab""",99/99,5.0,1132790400,Good focus on functionally important structures,"I teach an interdisciplinary course in psychology and neuroscience, and my psych students have found this book helpful for getting up to speed on neuroanatomy. I've also started using some of the pages as overheads during my lectures, since the diagrams are uncluttered and easy to draw on.I'm writing a review because I thought I should mention that I found this book *much* more useful than its better-known competitor. The other book has more fine-grained anatomical detail, of the sort that would be most useful to someone studying to be a neurosurgeon - but the result is that it's very hard for a casual student to tell what's worth studying or remembering. This book does a much better job of focusing on the important structures, the ones that you're likely to see mentioned in popular science books and articles. The second half (Functional Neuroanatomy, with chapters devoted to the systems subserving different functions) is especially useful.For anyone interested in self-study, or who just wants a quick reference source for neural structures that they see mentioned in other texts, I'd strongly recommend this book.",1
